Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_012,"Schwilge, Andreas (1608-1688)",Schwilge,Andreas,1608,1688,103856935,Sänger,Historische Person,,
person_014,"Wyss, Felix (1596-1666)",Wyss,Felix,1596,1666,115583025,"Reformierter Theologe, Pfarrer am Fraumünster in Zürich, Professor für Katechetik",Historische Person,https://www.degruyterbrill.com/database/dba/entry/dba.D561-546-5/html ,
person_015,"Leuen/Lewe/Leu, Hans Jacob (1592-1660)",Leuen/Lewe/Leu,Hans Jacob,1592,1660,,Mitglied des Rats; Statthalter; oberster Leutnant über der Zürcher Panner,Historische Person,,
person_016,"Berger, Hans (1596-1656)",Berger,Hans,1596,1656,1089516347,Mitglied des Rats von der freien Wahl; Bauherr; ehemaliger Vogt der Herrschaft Weinfelden,Historische Person,,
person_017,"Müller, Hans Heinrich (1571-1648)",Müller,Hans Heinrich,1571,1648,1074540360,"Mitglied des Rats, Zunftmeister, Landvogt von Kyburg, Seckelmeister",Historische Person,evtl. https://hls-dhs-dss.ch/de/articles/018171/2007-11-30/,
person_018,"Wirz, Johann (1591-1658)",Wirz,Johann,1591,1658,117412465,Professor für reformierte Theologie in Zürich,Historische Person,https://hls-dhs-dss.ch/de/articles/026288,
person_019,"Hofmeister / Hoffmeister, Johann Rudolph (1615-1684)",Hofmeister / Hoffmeister,Johann Rudolph,1615,1684,115616675,V. D. M. & Professor Græco-Latinus,Historische Person,evtl. https://www.degruyterbrill.com/database/dba/entry/dba.D585-657-4/html,
person_020,"Redinger, Johann Jakob (1619-1688)",Redinger,Johann Jakob,1619,1688,119020475,"Pfarrer in Dietikon, verheiratet mit Barbara Simler, der Tochter von Johann Wilhelm Simler",Historische Person,https://hls-dhs-dss.ch/de/articles/010793/2011-12-21/,
person_021,"Blasius, Johannes (ca. 1490-1550)",Blasius,Johannes,ca. 1490,1550,1089451822,"Reformierter Pfarrer, Reformater Churs und Graubündens, Mitverfasser des ersten Bündner Katechismus",Historische Person,https://hls-dhs-dss.ch/de/articles/010544/2004-08-11/,
person_022,"Rhagor, Daniel (1577-1648)",Rhagor,Daniel,1577,1648,124538282,"Landvogt zu Gottstatt und Thorberg, Mitglied des Berner Grossen Rats, Landwirt und Botaniker",Historische Person,https://hls-dhs-dss.ch/de/articles/026107/2011-11-03/,
